1642238018571, 0.0, -1.0
1642238018772, 0.0, -1.0
1642238018970, 0.0, -1.0
1642238019170, 0.0, -1.0
1642238019371, 0.0, -1.0
1642238019570, 0.0, -1.0
1642238019772, 0.0, -1.0
1642238019974, 0.0, -1.0
1642238020170, 0.0, -1.0
1642238020371, 0.0, -1.0
1642238020572, 0.0, -1.0
1642238020772, 0.0, -1.0
1642238020971, 0.0, -1.0
1642238021171, 0.0, -1.0
1642238021371, 0.0, -1.0
1642238021572, 0.0, -1.0
1642238021770, 0.0, -1.0
1642238021974, 0.0, -1.0
1642238022171, 0.0, -1.0
1642238022370, 0.0, -1.0
1642238022570, 0.0, -1.0
1642238022770, 0.0, -1.0
1642238022971, 0.0, -1.0
1642238023170, 0.0, -1.0
1642238023371, 0.0, -1.0
1642238023571, 0.0, -1.0
1642238023771, 0.0, -1.0
1642238023972, 0.0, -1.0
1642238024171, 0.0, -1.0
1642238024371, 0.0, -1.0
1642238024573, 0.0, -1.0
1642238024771, 0.0, -1.0
1642238024970, 0.0, -1.0
1642238025171, 0.0, -1.0
1642238025370, 0.0, -1.0
1642238025570, 0.0, -1.0
1642238025770, 0.0, -1.0
1642238025970, 0.0, -1.0
1642238026170, 0.0, -1.0
1642238026370, 0.0, -1.0
1642238026571, 0.0, -1.0
1642238026773, -0.1, -1.0
1642238026982, -0.1, -1.0
1642238027171, -0.2, -1.0
1642238027379, -0.3, -1.0
1642238027577, -0.3, -1.0
1642238027772, -0.3, -1.0
1642238027970, -0.3, -1.0
1642238028172, -0.3, -1.0
1642238028371, 0.0, -1.0
1642238028572, 0.0, -1.0
1642238028771, 0.0, -1.0
1642238028970, 0.0, -1.0
1642238029171, 0.0, -1.0
1642238029373, 0.0, -1.0
1642238029571, 0.0, -1.0
1642238029771, 0.0, -1.0
1642238029972, 0.0, -1.0
1642238030170, 0.0, -1.0
1642238030370, 0.0, -1.0
1642238030572, 0.0, -1.0
1642238030771, 0.0, -1.0
1642238030971, -0.1, -1.0
1642238031171, -0.2, -1.0
1642238031371, -0.3, -1.0
1642238031570, -0.3, -1.0
1642238031771, -0.3, -1.0
1642238031971, -0.3, -1.0
